tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS
44.36999999999998,12.25,12.762,2.067,0.069,141.619,93.45,0.441,2.594,51.274,49.369,45.195,183.155,Tangahoe Fm,cheal-g2,,,,,,,
44.467379912663745,12.25,12.755,2.072,0.063,142.189,96.537,0.4270000000000001,2.63,48.595,47.0,43.48,183.099,Tangahoe Fm,cheal-g2,,,,,,,
44.56475982532749,12.25,12.753,2.084,0.055,142.725,95.492,0.42,2.672,50.465,49.091,46.028,183.349,Tangahoe Fm,cheal-g2,,,,,,,
44.66213973799125,12.25,12.772,2.102,0.048,143.27700000000004,91.9,0.417,2.708,56.40600000000001,55.094,52.15,183.387,Tangahoe Fm,cheal-g2,,,,,,,
44.759519650655044,12.25,12.811,2.119,0.041,143.808,87.51799999999999,0.424,2.714,54.088,52.945,50.372,183.581,Tangahoe Fm,cheal-g2,,,,,,,
44.856899563318755,12.25,12.856,2.128,0.033,144.35399999999996,84.756,0.43,2.7230000000000003,51.414,50.19600000000001,47.465,183.711,Tangahoe Fm,cheal-g2,,,,,,,
44.95427947598255,12.25,12.887,2.13,0.028,144.81,82.945,0.429,2.716,52.523,51.032,47.718,183.767,Tangahoe Fm,cheal-g2,,,,,,,
45.05165938864626,12.25,12.93,2.128,0.028,145.128,82.801,0.418,2.7,58.666,56.622,52.125,183.695,Tangahoe Fm,cheal-g2,,,,,,,
45.14903930131004,12.25,12.995,2.127,0.031,145.246,84.01100000000002,0.402,2.678,62.128,59.635,54.2,183.677,Tangahoe Fm,cheal-g2,,,,,,,
45.246419213973816,12.25,13.12,2.125,0.035,145.062,85.09200000000001,0.384,2.679,65.35600000000001,62.497,56.303,183.474,Tangahoe Fm,cheal-g2,,,,,,,
45.343799126637535,12.25,13.296,2.123,0.039,144.553,83.884,0.369,2.668,60.404,57.813,52.191,183.56,Tangahoe Fm,cheal-g2,,,,,,,
45.44117903930132,12.25,13.474,2.123,0.041,143.8,83.40799999999999,0.358,2.653,55.75899999999999,53.585,48.838,183.675,Tangahoe Fm,cheal-g2,,,,,,,
