tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS,lat,lon
1203.2515927272725,8.5,9.901,2.327,0.122,96.433,123.183,0.361,3.1630000000000003,5.322,5.336,5.3679999999999986,88.846,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1203.3436654545455,8.5,9.884,2.339,0.14400000000000002,95.877,123.659,0.35600000000000004,3.157,5.632999999999999,5.67,5.7570000000000014,88.71799999999998,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1203.435738181818,8.5,9.445,2.338,0.166,95.789,124.125,0.354,3.15,5.797999999999999,5.852,5.979,88.615,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1203.5278109090907,8.5,9.073,2.325,0.182,96.003,124.862,0.35200000000000004,3.125,5.808,5.862,5.988,88.505,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1203.6198836363635,8.5,9.107,2.303,0.188,96.74,125.493,0.354,3.116,5.295,5.335,5.43,88.51100000000002,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1203.7119563636365,8.5,9.234,2.274,0.182,97.737,124.721,0.353,3.1210000000000004,4.84,4.8580000000000005,4.9030000000000005,88.64200000000002,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1203.8040290909094,8.5,9.273,2.247,0.175,98.753,122.514,0.354,3.141,5.289,5.285,5.278,88.727,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1203.8961018181815,8.5,9.421,2.227,0.17600000000000002,99.435,118.372,0.35700000000000004,3.129,6.113,6.075,5.9860000000000015,88.86399999999998,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1203.9881745454545,8.5,9.512,2.208,0.181,99.902,117.414,0.363,3.087,5.306,5.254,5.134,89.031,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1204.080247272727,8.5,9.38,2.186,0.183,100.075,117.344,0.3670000000000001,3.055,4.631,4.573,4.439,89.156,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1204.17232,8.5,9.096,2.174,0.184,99.931,119.856,0.366,3.005,4.633,4.569,4.424,89.147,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1204.2643927272727,8.5,9.059,2.177,0.181,99.517,121.175,0.3670000000000001,2.9760000000000004,5.621,5.5360000000000005,5.3439999999999985,89.226,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1204.3564654545453,8.5,9.214,2.184,0.16899999999999998,98.985,124.367,0.369,2.985,6.004,5.908,5.691,89.24700000000001,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1204.4485381818179,8.5,9.193,2.187,0.157,98.569,123.286,0.375,3.035,5.3,5.204,4.987,89.262,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1204.5406109090911,8.5,9.146,2.177,0.158,98.36,120.476,0.382,3.048,5.983,5.879,5.642,89.223,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1204.6326836363635,8.5,9.432,2.154,0.177,98.682,116.119,0.391,3.01,6.097,6.018,5.836,89.195,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1204.7247563636365,8.5,9.974,2.109,0.197,99.444,114.189,0.393,2.95,4.754,4.725,4.658,89.14399999999998,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
1204.8169992716678,8.5,10.278,2.069,0.213,100.571,112.56,0.392,2.884,4.6160000000000005,4.6160000000000005,4.6160000000000005,89.141,Urenui B SST,cheal-g1,,,,,,,,-39.397306,174.28363000000002
