tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS
-198.7757543859649,,,,,,,,,,,,,,cheal-a11,,,,,,,
-198.7757543859649,,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-198.62391124871,,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-198.47106914344684,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-198.31922600619203,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-198.16738286893704,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-198.0145407636739,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-197.862697626419,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-197.70985552115584,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-197.558,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-197.40599999999998,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-197.253,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-197.101,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-196.94799999999998,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-196.796,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-196.644,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-196.49099999999999,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-196.33900000000003,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-196.18599999999998,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-196.03400000000002,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-195.882,12.25,,,,,30.451,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-195.729,12.25,,,,,26.868,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-195.577,12.25,,,,,25.184,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-195.424,12.25,,,,,24.718000000000004,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-195.27200000000002,12.25,,,,,25.825,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-195.12,12.25,,,,,26.763,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-194.967,12.25,,,,,27.752,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-194.815,12.25,,,,,25.873,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-194.662,12.25,,,,,24.771,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-194.51,12.25,,,,,23.775,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-194.358,12.25,,,,,24.644,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-194.205,12.25,,,,,25.871,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-194.053,12.25,,,,,25.981,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-193.9,12.25,,,,,26.005,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-193.748,12.25,,,,,25.277,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-193.59599999999998,12.25,,,,,26.567,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-193.44299999999998,12.25,,,,,28.988000000000003,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-193.291,12.25,,,,,28.838,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-193.138,12.25,,,,,27.045,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-192.986,12.25,,,,,26.986,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-192.834,12.25,,,,,28.775,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-192.68099999999998,12.25,,,,,30.331,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-192.52900000000002,12.25,,,,,32.005,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-192.37599999999998,12.25,,,,,33.079,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-192.22400000000002,12.25,,,,,34.799,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-192.072,12.25,,,,,34.441,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-191.919,12.25,,,,,34.442,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-191.767,12.25,,,,,33.295,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-191.614,12.25,,,,,30.071,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-191.46200000000002,12.25,,,,,28.399,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-191.31,12.25,,,,,28.35,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-191.157,12.25,,,,,33.306,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-191.005,12.25,,,,,38.198,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-190.852,12.25,,,,,39.791,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-190.7,12.25,,,,,38.417,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-190.548,12.25,,,,,35.852,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-190.395,12.25,,,,,35.254,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-190.243,12.25,,,,,36.448,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-190.09,12.25,,,,,36.805,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-189.938,12.25,,,,,38.801,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-189.78599999999997,12.25,,,,,37.87,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
-189.63299999999998,12.25,,,,,38.41,,,,,,,Egmont Volcanics,cheal-a11,,,,,,,
