tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS
-260.46,,,,,,,,,,,,,,cheal-g3,,,,,,,
-260.36,,,,,,,,,,,,,,cheal-g3,,,,,,,
-260.26,,,,,,,,,,,,,,cheal-g3,,,,,,,
-260.16,,,,,,,,,,,,,,cheal-g3,,,,,,,
-260.06,,,,,,,,,,,,,,cheal-g3,,,,,,,
-259.96,,,,,,,,,,,,,,cheal-g3,,,,,,,
-259.86,,,,,,,,,,,,,,cheal-g3,,,,,,,
-259.76,,,,,,,,,,,,,,cheal-g3,,,,,,,
-259.66,,,,,,,,,,,,,,cheal-g3,,,,,,,
-259.56,,,,,,,,,,,,,,cheal-g3,,,,,,,
-259.46,,,,,,,,,,,,,,cheal-g3,,,,,,,
-259.36,,,,,,,,,,,,,,cheal-g3,,,,,,,
-259.26,,,,,,,,,,,,,,cheal-g3,,,,,,,
-259.16,,,,,,,,,,,,,,cheal-g3,,,,,,,
-259.06,,,,,,,,,,,,,,cheal-g3,,,,,,,
-258.96,,,,,,,,,,,,,,cheal-g3,,,,,,,
-258.86,,,,,,,,,,,,,,cheal-g3,,,,,,,
-258.76,,,,,,,,,,,,,,cheal-g3,,,,,,,
-258.66,,,,,,,,,,,,,,cheal-g3,,,,,,,
-258.56,,,,,,,,,,,,,,cheal-g3,,,,,,,
-258.46,,,,,,,,,,,,,,cheal-g3,,,,,,,
-258.36,,,,,,,,,,,,,,cheal-g3,,,,,,,
-258.26,,,,,,,,,,,,,,cheal-g3,,,,,,,
-258.16,,,,,,,,,,,,,,cheal-g3,,,,,,,
-258.06,,,,,,,,,,,,,,cheal-g3,,,,,,,
-257.96,,,,,,,,,,,,,,cheal-g3,,,,,,,
-257.86,,,,,,,,,,,,,,cheal-g3,,,,,,,
-257.76,,,,,,,,,,,,,,cheal-g3,,,,,,,
-257.66,,,,,,,,,,,,,,cheal-g3,,,,,,,
-257.56,,,,,,,,,,,,,,cheal-g3,,,,,,,
-257.46,,,,,,,,,,,,,,cheal-g3,,,,,,,
-257.36,,,,,,,,,,,,,,cheal-g3,,,,,,,
-257.26,,,,,,,,,,,,,,cheal-g3,,,,,,,
-257.16,,,,,,,,,,,,,,cheal-g3,,,,,,,
-257.06,,,,,,,,,,,,,,cheal-g3,,,,,,,
-256.96,,,,,,,,,,,,,,cheal-g3,,,,,,,
-256.86,,,,,,,,,,,,,,cheal-g3,,,,,,,
-256.76,,,,,,,,,,,,,,cheal-g3,,,,,,,
-256.66,,,,,,,,,,,,,,cheal-g3,,,,,,,
-256.56,,,,,,,,,,,,,,cheal-g3,,,,,,,
-256.46,,,,,,,,,,,,,,cheal-g3,,,,,,,
-256.36,,,,,,,,,,,,,,cheal-g3,,,,,,,
-256.26,,,,,,,,,,,,,,cheal-g3,,,,,,,
-256.16,,,,,,21.921,,,,,,,,cheal-g3,,,,,,,
-256.06,,,,,,22.897,,,,,,,,cheal-g3,,,,,,,
-255.96,,,,,,24.014,,,,,,,,cheal-g3,,,,,,,
-255.86,,,,,,24.855,,,,,,,,cheal-g3,,,,,,,
-255.76,,,,,,26.989,,,,,,,,cheal-g3,,,,,,,
-255.66,,,,,,29.603,,,,,,,,cheal-g3,,,,,,,
-255.56,,,,,,33.972,,,,,,,,cheal-g3,,,,,,,
-255.46,,,,,,38.011,,,,,,,,cheal-g3,,,,,,,
-255.36,,,,,,41.493,,,,,,,,cheal-g3,,,,,,,
-255.26,,,,,,41.89,,,,,,,,cheal-g3,,,,,,,
-255.16,,,,,,40.606,,,,,,,,cheal-g3,,,,,,,
-255.06,,,,,,37.035,,,,,,,,cheal-g3,,,,,,,
-254.96,,,,,,33.716,,,,,,,,cheal-g3,,,,,,,
-254.86,,,,,,31.216,,,,,,,,cheal-g3,,,,,,,
-254.76,,,,,,30.32800000000001,,,,,,,,cheal-g3,,,,,,,
-254.66,,,,,,29.269,,,,,,,,cheal-g3,,,,,,,
-254.56,,,,,,27.784,,,,,,,,cheal-g3,,,,,,,
-254.46,,,,,,26.389,,,,,,,,cheal-g3,,,,,,,
-254.36,,,,,,24.673,,,,,,,,cheal-g3,,,,,,,
-254.26,,,,,,22.977,,,,,,,,cheal-g3,,,,,,,
-254.16,,,,,,22.434,,,,,,,,cheal-g3,,,,,,,
-254.06,,,,,,23.262,,,,,,,,cheal-g3,,,,,,,
-253.96,,,,,,24.005,,,,,,,,cheal-g3,,,,,,,
-253.86,,,,,,23.872,,,,,,,,cheal-g3,,,,,,,
-253.76,,,,,,23.561,,,,,,,,cheal-g3,,,,,,,
-253.66,,,,,,22.967,,,,,,,,cheal-g3,,,,,,,
-253.56,,,,,,23.618,,,,,,,,cheal-g3,,,,,,,
-253.46,,,,,,24.082,,,,,,,,cheal-g3,,,,,,,
-253.36,,,,,,25.502,,,,,,,,cheal-g3,,,,,,,
-253.26,,,,,,25.311,,,,,,,,cheal-g3,,,,,,,
-253.16,,,,,,25.613000000000003,,,,,,,,cheal-g3,,,,,,,
-253.06,,,,,,24.105,,,,,,,,cheal-g3,,,,,,,
-252.96,,,,,,23.975,,,,,,,,cheal-g3,,,,,,,
-252.86,,,,,,23.077,,,,,,,,cheal-g3,,,,,,,
-252.76,,,,,,23.922,,,,,,,,cheal-g3,,,,,,,
-252.66,,,,,,24.118,,,,,,,,cheal-g3,,,,,,,
-252.56,,,,,,24.912,,,,,,,,cheal-g3,,,,,,,
-252.46,,,,,,24.147,,,,,,,,cheal-g3,,,,,,,
-252.36,,,,,,23.413,,,,,,,,cheal-g3,,,,,,,
-252.26,,,,,,23.171,,,,,,,,cheal-g3,,,,,,,
-252.16,,,,,,23.213,,,,,,,,cheal-g3,,,,,,,
-252.06,,,,,,23.012,,,,,,,,cheal-g3,,,,,,,
-251.96,,,,,,23.11,,,,,,,,cheal-g3,,,,,,,
