tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS
-210.299,12.25,,,,,,,,,,,,,cheal-b8,,,,,,,
-210.299,,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-210.146,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-209.99400000000003,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-209.842,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-209.68900000000002,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-209.537,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-209.38400000000001,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-209.232,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-209.08,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-208.92700000000002,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-208.775,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-208.622,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-208.47,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-208.318,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-208.165,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-208.013,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-207.86,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-207.708,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-207.556,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-207.403,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-207.25099999999998,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-207.098,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-206.946,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-206.794,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-206.641,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-206.489,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-206.336,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-206.18400000000003,12.25,,,,,,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-206.032,12.25,,,,,29.706,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-205.87900000000002,12.25,,,,,30.004,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-205.727,12.25,,,,,28.282,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-205.574,12.25,,,,,28.499,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-205.422,12.25,,,,,29.309,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-205.27,12.25,,,,,33.189,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-205.11700000000002,12.25,,,,,32.981,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-204.965,12.25,,,,,31.395,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-204.812,12.25,,,,,29.946,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-204.66,12.25,,,,,30.065,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-204.508,12.25,,,,,28.752,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-204.355,12.25,,,,,26.74,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-204.203,12.25,,,,,25.145,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-204.05,12.25,,,,,27.532,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-203.898,12.25,,,,,30.824,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-203.746,12.25,,,,,33.611999999999995,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-203.593,12.25,,,,,33.731,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-203.44099999999997,12.25,,,,,32.589,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-203.288,12.25,,,,,31.335,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-203.136,12.25,,,,,30.261,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-202.984,12.25,,,,,30.5,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-202.831,12.25,,,,,32.29,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-202.679,12.25,,,,,33.962,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-202.526,12.25,,,,,34.32,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-202.37400000000002,12.25,,,,,34.064,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-202.222,12.25,,,,,33.228,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-202.06900000000002,12.25,,,,,32.154,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-201.917,12.25,,,,,32.828,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-201.764,12.25,,,,,32.947,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-201.612,12.25,,,,,32.393,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-201.46,12.25,,,,,31.676,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-201.30700000000002,12.25,,,,,30.721,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-201.155,12.25,,,,,31.745,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-201.002,12.25,,,,,29.477,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-200.85,12.25,,,,,28.76,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-200.698,12.25,,,,,28.76,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-200.545,12.25,,,,,29.835,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-200.393,12.25,,,,,32.461,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-200.24,12.25,,,,,34.021,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-200.088,12.25,,,,,40.885,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-199.93599999999998,12.25,,,,,39.214,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-199.783,12.25,,,,,39.811,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-199.63099999999997,12.25,,,,,32.904,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-199.47799999999998,12.25,,,,,35.292,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-199.326,12.25,,,,,33.859,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-199.174,12.25,,,,,38.208,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-199.021,12.25,,,,,38.088,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-198.86900000000003,12.25,,,,,39.99800000000001,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-198.71599999999998,12.25,,,,,38.438,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-198.56400000000002,12.25,,,,,38.933,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-198.412,12.25,,,,,38.216,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-198.25900000000001,12.25,,,,,39.88800000000001,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-198.107,12.25,,,,,41.06399999999999,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-197.954,12.25,,,,,41.06399999999999,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-197.80200000000002,12.25,,,,,39.99,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-197.65,12.25,,,,,41.627,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-197.497,12.25,,,,,43.179,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-197.345,12.25,,,,,43.65600000000001,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-197.192,12.25,,,,,42.258,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-197.04,12.25,,,,,43.452,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-196.888,12.25,,,,,44.066,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-196.735,12.25,,,,,42.633,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-196.583,12.25,,,,,40.126,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-196.43,12.25,,,,,40.254,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-196.278,12.25,,,,,39.419,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-196.12599999999998,12.25,,,,,40.612,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-195.97299999999998,12.25,,,,,39.845,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-195.821,12.25,,,,,39.726,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-195.668,12.25,,,,,38.412,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-195.516,12.25,,,,,39.393,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-195.364,12.25,,,,,41.184,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-195.21099999999998,12.25,,,,,44.13399999999999,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-195.05900000000003,12.25,,,,,43.537,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-194.90599999999998,12.25,,,,,45.788,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-194.754,12.25,,,,,42.718,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-194.602,12.25,,,,,39.973,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-194.449,12.25,,,,,38.08,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-194.297,12.25,,,,,41.661,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-194.144,12.25,,,,,42.497,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-193.992,12.25,,,,,40.586,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-193.84,12.25,,,,,37.96,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-193.687,12.25,,,,,39.615,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-193.535,12.25,,,,,40.092,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-193.382,12.25,,,,,40.689,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-193.23,12.25,,,,,38.319,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-193.078,12.25,,,,,39.214,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-192.925,12.25,,,,,39.692,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-192.773,12.25,,,,,39.453,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-192.62,12.25,,,,,39.709,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-192.468,12.25,,,,,36.963,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-192.31599999999997,12.25,,,,,39.112,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-192.16299999999998,12.25,,,,,35.215,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-192.011,12.25,,,,,34.379,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-191.858,12.25,,,,,31.386,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-191.706,12.25,,,,,34.013000000000005,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-191.554,12.25,,,,,38.762,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-191.40099999999998,12.25,,,,,40.084,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-191.24900000000002,12.25,,,,,40.203,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-191.09599999999998,12.25,,,,,34.499,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-190.944,12.25,,,,,32.23,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-190.792,12.25,,,,,33.509,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-190.639,12.25,,,,,35.658,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-190.487,12.25,,,,,37.091,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-190.334,12.25,,,,,35.573,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-190.182,12.25,,,,,34.652,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-190.03,12.25,,,,,36.92,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-189.877,12.25,,,,,35.01,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-189.725,12.25,,,,,35.522,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-189.572,12.25,,,,,34.567,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-189.42,12.25,,,,,34.686,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-189.268,12.25,,,,,34.618,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
-189.115,12.25,,,,,34.14,,,,,,,Egmont Volcanics,cheal-b8,,,,,,,
