tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS
603.2600000000001,8.5,8.555,2.336,0.039,104.535,112.728,0.362,2.926,14.193,12.552,9.607,-117.167,Matemateaonga Fm,cheal-a10,,,,,,,
603.4119999999998,8.5,8.639,2.356,0.035,105.346,116.063,0.366,2.903,11.994000000000002,10.639,8.246,-116.688,Matemateaonga Fm,cheal-a10,,,,,,,
603.5640000000002,8.5,8.655,2.349,0.027000000000000003,105.255,115.483,0.361,2.845,14.502,12.835,9.335,-116.633,Matemateaonga Fm,cheal-a10,,,,,,,
603.7170000000001,8.5,8.57,2.335,0.018000000000000002,107.727,119.287,0.37,2.833,16.464000000000002,14.656,10.444,-116.438,Matemateaonga Fm,cheal-a10,,,,,,,
603.869,8.5,8.685,2.316,0.01,109.719,115.483,0.382,2.965,16.828,15.073,10.602,-116.592,Matemateaonga Fm,cheal-a10,,,,,,,
604.0219999999998,8.5,8.601,2.307,0.008,109.769,118.057,0.381,2.9560000000000004,15.51,13.949000000000002,10.038,-116.662,Matemateaonga Fm,cheal-a10,,,,,,,
604.174,8.5,8.578,2.3280000000000003,0.012,102.027,115.544,0.375,2.997,15.584,14.055,10.108,-116.808,Matemateaonga Fm,cheal-a10,,,,,,,
604.3260000000001,8.5,8.674,2.333,0.019,101.742,122.816,0.37,2.927,15.705,14.224,10.380999999999998,-117.258,Matemateaonga Fm,cheal-a10,,,,,,,
604.479,8.5,8.724,2.3280000000000003,0.023,101.636,118.358,0.35,2.893,17.083,15.455,11.45,-117.883,Matemateaonga Fm,cheal-a10,,,,,,,
604.6310000000002,8.5,8.536,2.339,0.027000000000000003,102.843,122.464,0.333,3.01,16.776,15.073,11.439,-118.092,Matemateaonga Fm,cheal-a10,,,,,,,
604.784,8.5,8.513,2.349,0.037000000000000005,105.106,119.781,0.348,3.08,16.019000000000002,14.329,10.970999999999998,-118.175,Matemateaonga Fm,cheal-a10,,,,,,,
604.9360000000001,8.5,8.708,2.36,0.047,105.936,123.283,0.386,3.075,13.263,11.915,9.418,-118.071,Matemateaonga Fm,cheal-a10,,,,,,,
605.0880000000002,8.5,8.731,2.397,0.047,107.271,119.412,0.395,2.949,15.547,13.88,10.675,-118.042,Matemateaonga Fm,cheal-a10,,,,,,,
605.2410000000001,8.5,8.789,2.344,0.035,106.375,118.811,0.405,2.967,13.753,12.329,9.914,-117.783,Matemateaonga Fm,cheal-a10,,,,,,,
605.3930000000001,8.5,8.777000000000001,2.331,0.021,106.19,117.537,0.373,2.852,12.22,10.999,9.089,-117.674,Matemateaonga Fm,cheal-a10,,,,,,,
605.5460000000003,8.5,8.854,2.315,0.011,109.292,117.772,0.374,2.949,15.944,14.358,11.345999999999998,-117.508,Matemateaonga Fm,cheal-a10,,,,,,,
605.6980000000002,8.5,8.862,2.347,0.009000000000000001,105.432,123.05,0.366,3.028,16.924,15.32,12.068,-117.017,Matemateaonga Fm,cheal-a10,,,,,,,
605.8500000000001,8.5,8.846,2.344,0.009000000000000001,105.79,125.396,0.373,2.99,15.87,14.374,11.398,-116.617,Matemateaonga Fm,cheal-a10,,,,,,,
