tvdss,BS,CALI,DENS,DRHO,DTC,GR,NEUT,PEF,RESD,RESM,RESS,SP,fm,well,DTS,GR_CORR,NEUT_CORR,RESD_CORR,RESS_CORR,TEMP,TENS,lat,lon,shale_cutoff,litho
12.282250501140535,8.5,8.731,2.2319999999999998,-0.006999999999999999,134.274,112.523,0.397,2.94,31.124000000000002,25.188000000000002,11.925,-99.7,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
12.435245213244002,8.5,8.785,2.225,-0.006999999999999999,134.46200000000002,113.78399999999999,0.38299999999999995,2.862,31.754,25.541999999999998,10.815,-100.19200000000001,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
12.5872399599088,8.5,8.839,2.224,-0.006,134.708,113.78399999999999,0.38,2.8289999999999997,32.436,25.956999999999997,11.401,-100.28299999999999,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
12.740234672012207,8.5,8.662,2.204,-0.004,135.416,112.376,0.384,3.025,29.701,23.719,11.02,-100.9,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
12.892229418677006,8.5,8.578,2.181,0.001,136.266,116.95100000000001,0.41600000000000004,2.8339999999999996,29.748,23.778000000000002,10.942,-101.71700000000001,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
13.044224165341914,8.5,8.586,2.161,0.011000000000000001,136.901,117.42,0.382,2.748,29.913,23.859,10.96,-102.529,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
13.197218877445266,8.5,8.447000000000001,2.205,0.018000000000000002,136.762,110.499,0.4,2.8739999999999997,31.497,25.218000000000004,11.28,-103.195,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
13.349213624110064,8.5,8.352,2.215,0.016,136.713,107.801,0.40299999999999997,2.89,33.0,26.545,11.754000000000001,-103.588,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
13.502208336213524,8.5,8.432,2.222,0.008,136.451,107.215,0.40700000000000003,2.925,27.869,22.765,10.690999999999999,-103.779,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
13.654203082878325,8.5,8.743,2.231,0.002,136.54,115.34200000000001,0.43,2.69,26.869,22.01,10.354000000000001,-104.066,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
13.806197829543125,8.5,8.674,2.217,0.005,137.453,115.811,0.392,2.864,31.399,25.596,11.57,-104.3,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
13.959192541646528,8.5,8.639,2.208,0.008,137.878,113.583,0.39,2.967,28.965,23.643,11.199000000000002,-104.55799999999999,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
14.111187288311383,8.5,8.536,2.191,0.009000000000000001,139.858,108.271,0.368,2.908,28.173000000000002,22.993000000000002,11.136,-104.904,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
14.264182000414793,8.5,8.329,2.218,0.011000000000000001,139.982,110.633,0.379,2.951,28.35,23.205,11.254000000000001,-105.171,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
14.41617674707959,8.5,8.225,2.205,0.009000000000000001,137.442,111.806,0.39,2.82,29.384,24.12,11.452,-105.5,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
14.568171493744387,8.5,8.225,2.2119999999999997,0.009000000000000001,136.868,117.085,0.377,2.952,29.19,24.13,11.248,-105.963,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
14.721166205847853,8.5,8.639,2.207,0.004,136.417,117.186,0.38299999999999995,2.8710000000000004,30.378,24.943,11.044,-106.26700000000001,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
14.873160952512649,8.5,8.685,2.202,0.002,136.216,120.0,0.36,2.842,30.554000000000002,25.131,11.345999999999998,-106.208,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
15.026155664616056,8.5,8.609,2.215,0.0,138.184,112.611,0.37,2.696,29.549,24.392,11.804,-105.992,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
15.17815041128091,8.5,8.524,2.219,-0.003,136.46200000000002,109.619,0.387,2.804,27.958000000000002,23.07800000000001,11.579,-105.963,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
15.330145157945704,8.5,8.513,2.218,-0.006,136.833,109.854,0.379,2.7539999999999996,27.705,22.785,11.382,-106.03299999999999,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
15.483139870049115,8.5,8.57,2.199,-0.006,137.35399999999998,107.743,0.42,2.928,29.879,24.465999999999998,11.849,-106.171,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
15.635134616713913,8.5,8.632,2.201,-0.005,137.838,106.39399999999999,0.415,2.891,30.514,24.916999999999998,12.247,-106.137,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
15.788129328817375,8.5,8.685,2.1919999999999997,-0.004,137.54399999999998,103.226,0.43,2.822,26.826,22.046,11.883,-106.208,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
15.940124075482176,8.5,8.708,2.219,-0.004,137.939,106.042,0.4,2.826,26.436,21.784000000000002,12.405,-106.725,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
16.092118822146972,8.5,8.754,2.213,-0.005,137.94799999999998,105.883,0.42200000000000004,2.83,28.701999999999998,23.590999999999998,13.142000000000001,-107.29700000000001,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
16.245113534250436,8.5,8.731,2.2030000000000003,-0.006,137.67700000000002,108.11200000000001,0.414,2.82,29.017,23.85,13.029000000000002,-108.225,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
16.397108280915234,8.5,8.743,2.202,-0.006,137.495,109.05,0.377,2.9139999999999997,31.20300000000001,25.564,13.742,-108.87899999999999,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
16.55010299301864,8.5,8.639,2.202,-0.003,137.04399999999998,114.605,0.3670000000000001,2.86,32.359,26.558000000000003,13.78,-109.475,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
16.70209773968344,8.5,8.34,2.204,0.0,136.16299999999998,114.37,0.366,2.8369999999999997,29.346999999999998,24.038,12.612,-109.975,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
16.854092486348293,8.5,8.443999999999999,2.214,-0.002,135.705,116.13,0.38,2.923,26.604,21.781,11.552999999999999,-110.375,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
17.0070871984517,8.5,8.639,2.219,-0.005,135.855,111.20299999999999,0.389,2.9419999999999997,26.823,21.820999999999998,11.376,-110.475,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
17.159081945116498,8.5,8.616,2.201,-0.006,134.911,107.684,0.39399999999999996,3.094,28.193,22.901,11.780999999999999,-110.575,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
17.31207665721996,8.5,8.593,2.204,-0.005,134.437,103.109,0.363,2.9019999999999997,30.986,25.095,12.427,-110.51700000000001,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
17.46407140388476,8.5,8.547,2.206,-0.006,134.303,99.825,0.36200000000000004,3.005,27.456,22.3,11.908,-110.417,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
17.61606615054955,8.5,8.455,2.188,-0.006999999999999999,134.381,102.288,0.3670000000000001,2.906,25.726,20.954,11.429,-110.429,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
17.769060862652964,8.5,8.467,2.202,-0.009000000000000001,135.315,104.34899999999999,0.384,2.895,32.465,26.399,12.644,-110.78299999999999,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
17.92105560931782,8.5,8.501,2.202,-0.009000000000000001,135.34799999999998,103.88,0.385,2.911,30.434,24.932,12.495999999999999,-111.208,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
18.07405032142123,8.5,8.54,2.205,-0.01,135.355,101.53399999999999,0.3720000000000001,2.88,27.949,23.072,12.074000000000002,-111.537,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
18.226045068086023,8.5,8.509,2.202,-0.009000000000000001,135.608,106.74600000000001,0.379,2.926,27.514,22.741,11.823,-111.941,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
18.37803981475082,8.5,8.386000000000001,2.214,-0.006,136.243,111.32,0.369,2.925,25.118000000000002,20.903000000000002,11.274000000000001,-112.412,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
18.531034526854285,8.5,8.516,2.213,0.002,135.982,111.354,0.413,2.8710000000000004,27.033,22.611,11.673,-112.804,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
18.68302927351908,8.5,8.593,2.202,0.006,135.983,111.94,0.409,2.886,28.109,23.459,11.782,-112.787,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
18.836023985622443,8.5,8.532,2.2359999999999998,0.006999999999999999,136.816,111.354,0.461,2.9019999999999997,24.474,20.634,11.083,-112.8,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
18.988018732287344,8.5,8.516,2.225,0.004,136.72299999999998,116.48100000000001,0.46299999999999997,3.0469999999999997,23.273000000000003,19.534000000000002,10.673,-112.62899999999999,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
19.14001347895214,8.5,8.513,2.2159999999999997,0.004,136.455,120.235,0.521,2.9739999999999998,23.732,19.955,10.669,-112.588,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
19.293008191055552,8.5,8.49,2.177,0.005,136.18200000000002,121.87799999999999,0.45799999999999996,2.8360000000000003,25.183000000000003,21.054000000000002,10.849,-112.579,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
19.445002937720343,8.5,8.34,2.182,0.01,135.762,119.29700000000001,0.461,2.889,24.671,20.659000000000002,10.517999999999999,-112.81299999999999,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
19.598000000000038,8.5,8.179,2.204,0.011000000000000001,135.30100000000002,113.78399999999999,0.4370000000000001,2.8739999999999997,25.428,21.214000000000002,10.453,-112.81299999999999,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
19.750000000000032,8.5,8.34,2.222,0.012,135.205,113.314,0.442,2.846,29.058000000000003,24.083000000000002,11.2,-112.821,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
19.90200000000001,8.5,8.47,2.205,0.006999999999999999,135.178,116.24700000000001,0.413,2.915,31.525,26.057,11.376,-113.025,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
20.05500000000003,8.5,8.536,2.184,0.004,134.66,114.848,0.413,2.784,30.921999999999997,25.528000000000002,11.477,-113.09200000000001,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
20.20700000000002,8.5,8.432,2.199,0.003,134.026,115.434,0.4,2.8569999999999998,29.081999999999997,24.039,11.261,-113.175,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
20.36000000000004,8.5,8.179,2.202,0.002,133.714,115.434,0.377,2.785,26.872,22.302,11.011,-113.4,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
20.512000000000025,8.5,8.24,2.202,0.001,134.137,114.72200000000001,0.39399999999999996,2.805,26.265,21.873,11.062000000000001,-113.55799999999999,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
20.664000000000012,8.5,8.54,2.211,0.001,134.969,111.67200000000001,0.395,2.8080000000000003,27.264,22.733,11.122,-113.28299999999999,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
20.817000000000032,8.5,8.524,2.206,0.0,135.201,109.586,0.41,2.911,28.749000000000002,24.019000000000002,11.589,-113.25,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
20.96900000000001,8.5,8.662,2.195,-0.002,135.39700000000002,110.64200000000001,0.41200000000000003,2.885,30.688000000000002,25.744,12.492,-113.275,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
21.122000000000035,8.5,8.651,2.2119999999999997,-0.004,135.19799999999998,113.574,0.406,2.778,30.879,25.854,12.764000000000001,-113.05,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
21.274000000000022,8.5,8.662,2.217,-0.002,134.916,109.796,0.433,2.793,27.237,22.924,11.997,-113.06299999999999,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
21.426000000000013,8.5,8.616,2.198,0.0,134.813,108.85700000000001,0.456,2.822,28.21,23.56,12.097999999999999,-113.404,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
21.579000000000033,8.5,8.125,2.2030000000000003,0.001,135.115,106.74600000000001,0.47700000000000004,2.832,27.979,23.38,12.379000000000001,-113.887,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
21.731000000000016,8.5,7.937,2.221,0.002,135.435,111.43799999999999,0.446,2.841,25.318,21.23,11.529000000000002,-114.162,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
21.88400000000004,8.5,8.26,2.207,0.002,135.644,113.038,0.40700000000000003,2.832,25.913,21.754,11.493,-114.329,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
22.03600000000002,8.5,8.662,2.211,0.006999999999999999,135.234,112.803,0.391,2.803,27.138,22.801,12.046,-114.48,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
22.18800000000001,8.5,8.605,2.201,0.017,134.622,111.161,0.386,2.687,30.235,25.337,12.875,-114.2,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
22.341000000000022,8.5,8.386000000000001,2.181,0.027999999999999997,134.168,108.036,0.418,2.819,28.682,24.19,12.942,-114.12100000000001,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
22.49300000000001,8.5,8.44,2.194,0.036000000000000004,134.03,106.863,0.41200000000000003,2.937,28.320999999999998,23.844,12.277999999999999,-114.079,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
22.645999999999976,8.5,8.34,2.242,0.036000000000000004,134.196,106.15899999999999,0.40700000000000003,2.925,25.691999999999997,21.781999999999996,11.386,-114.18799999999999,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
22.798000000000016,8.5,8.168,2.227,0.028999999999999998,133.45600000000002,104.131,0.377,2.855,27.421999999999997,23.184,11.534,-114.025,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
22.95000000000001,8.5,8.443999999999999,2.198,0.015,133.602,110.935,0.379,2.833,28.625999999999998,24.017,11.962,-114.25399999999999,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
23.103000000000023,8.5,8.486,2.2319999999999998,0.002,133.689,110.70100000000001,0.382,2.773,31.070999999999998,25.943,12.544,-114.49600000000001,,cheal-a10,,,,,,,,-39.387038,174.304239,shale,shale
